file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y
C:\Users\syuuj\gitProject\spark\src\test\java\spark\FilterImplTest.java,spark.FilterImplTest.1,"handle/2[spark.Request,spark.Response]",0,5,1,2,0,0,2,0,0,0,0.0,0.0,-1.0,0.0,25,0.0,5.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,25.0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\templateview\FreeMarkerExample.java,spark.examples.templateview.FreeMarkerExample,main/1[java.lang.String[]],0,3,1,8,1,3,1,0,0,0,1.0,0.0,0.0,1.0,11,0.0,3.0,1.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,RouteEntry/0,10,0,1,2,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,35,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,35.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,toString/0,0,0,1,3,1,0,0,0,0,0,0.0,2.0,1.0,0.0,130,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,130.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,RouteEntry/1[spark.route.RouteEntry],0,0,1,6,0,0,1,0,0,0,0.0,8.0,1.0,0.0,38,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,38.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,"matches/2[spark.route.HttpMethod,java.lang.String]",11,1,7,10,2,1,2,0,0,0,4.0,2.0,0.33333334,2.0,45,11.0,1.0,7.0,10.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,0.33333334,2.0,45.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,matchPath/1[java.lang.String],1,1,26,48,9,10,1,2,0,0,4.0,1.0,0.2,1.0,59,1.0,1.0,26.0,48.0,9.0,10.0,1.0,2.0,0.0,0.0,4.0,1.0,0.2,1.0,59.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,exists/0,0,2,3,15,3,1,0,0,0,0,1.0,1.0,0.5,1.0,48,0.0,2.0,3.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,48.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,createRelative/1[java.lang.String],0,1,1,3,0,0,1,0,0,0,1.0,0.0,0.0,1.0,173,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,173.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,lastModified/0,0,2,2,7,1,1,0,0,0,0,1.0,1.0,0.5,1.0,147,0.0,2.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,147.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,isReadable/0,0,0,1,3,1,0,0,0,0,0,0.0,0.0,-1.0,0.0,68,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,68.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,getURI/0,0,2,2,9,1,1,0,0,0,0,0.0,1.0,1.0,0.0,94,0.0,2.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,94.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,getFile/0,2,1,1,3,0,0,0,0,0,0,1.0,0.0,0.0,1.0,108,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,108.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,hashCode/0,0,1,1,3,1,0,0,0,0,0,1.0,0.0,0.0,1.0,214,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,214.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,getFilename/0,1,0,1,3,1,0,0,0,0,0,0.0,0.0,-1.0,0.0,182,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,182.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,toString/0,0,1,1,3,1,0,0,0,0,0,1.0,0.0,0.0,1.0,193,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,193.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,getURL/0,7,1,1,3,0,0,0,0,0,0,1.0,0.0,0.0,1.0,85,7.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,85.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,equals/1[java.lang.Object],0,1,2,3,1,0,1,0,0,0,2.0,0.0,0.0,1.0,203,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,203.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,getFileForLastModifiedCheck/0,1,1,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,164,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,164.0
