,file,class,method,ATFD,ATLD,LAA,FDP,line,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
0,C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\json\pointer\impl\JsonPointerTest.java,io.vertx.core.json.pointer.impl.JsonPointerTest,testAppendOtherPointer/0,0.0,0.0,-1.0,0.0,91.0,0,0,1,6,0,2,0,0,0,0
1,C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\json\pointer\impl\JsonPointerTest.java,io.vertx.core.json.pointer.impl.JsonPointerTest,testBuilding/0,0.0,0.0,-1.0,0.0,69.0,0,0,1,7,0,2,0,0,0,0
2,C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\json\pointer\impl\JsonPointerTest.java,io.vertx.core.json.pointer.impl.JsonPointerTest,testEmptyBuilding/0,0.0,0.0,-1.0,0.0,84.0,0,0,1,5,0,1,0,0,0,0
3,C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\json\pointer\impl\JsonPointerTest.java,io.vertx.core.json.pointer.impl.JsonPointerTest,testEmptyTracedQuery/0,1.0,0.0,0.0,1.0,426.0,0,0,1,5,0,2,0,0,0,0
4,C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\json\pointer\impl\JsonPointerTest.java,io.vertx.core.json.pointer.impl.JsonPointerTest,testEncodingParsing/0,0.0,0.0,-1.0,0.0,42.0,0,0,1,4,0,1,0,0,0,0
5,C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\json\pointer\impl\JsonPointerTest.java,io.vertx.core.json.pointer.impl.JsonPointerTest,testIsParent/0,0.0,0.0,-1.0,0.0,382.0,0,0,1,6,0,2,0,0,0,0
6,C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\json\pointer\impl\JsonPointerTest.java,io.vertx.core.json.pointer.impl.JsonPointerTest,testIsParentDifferentURI/0,0.0,0.0,-1.0,0.0,390.0,0,0,1,6,0,2,0,0,0,0
7,C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\json\pointer\impl\JsonPointerTest.java,io.vertx.core.json.pointer.impl.JsonPointerTest,testIsParentWithRootPointer/0,0.0,0.0,-1.0,0.0,398.0,0,0,1,6,0,2,0,0,0,0
8,C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\json\pointer\impl\JsonPointerTest.java,io.vertx.core.json.pointer.impl.JsonPointerTest,testJsonArrayQuerying/0,0.0,0.0,-1.0,0.0,141.0,0,0,1,7,0,1,0,0,0,0
9,C:\Users\sugii syuji\gitProject\vert.x\src\test\java\io\vertx\core\json\pointer\impl\JsonPointerTest.java,io.vertx.core.json.pointer.impl.JsonPointerTest,testJsonArrayQueryingOrDefault/0,0.0,0.0,-1.0,0.0,160.0,0,0,1,6,0,1,0,0,0,0
