,class,RefusedBequest
0,com.badlogic.gdx.tools.hiero.Hiero.Splash.27.29,0.0
1,com.badlogic.gdx.tools.hiero.Hiero.Splash.27.28,0.0
2,com.badlogic.gdx.tools.headers.HeaderFixer,0.0
3,com.badlogic.gdx.graphics.g3d.model.data.ModelTexture,0.0
4,com.badlogic.gdx.backends.android.AndroidFragmentApplication.Callbacks,0.0
5,com.badlogic.gdx.backends.gwt.DefaultGwtAudio,0.0
6,com.badlogic.gdx.tests.BitmapFontFlipTest,0.0
7,com.badlogic.gdx.utils.DelayedRemovalArray,0.0
8,com.badlogic.gdx.utils.compression.lz.OutWindow,0.0
9,com.badlogic.gdx.scenes.scene2d.utils.UIUtils,0.0
10,com.badlogic.gdx.graphics.g3d.shaders.DefaultShader.Setters,0.0
11,org.jbox2d.dynamics.contacts.PositionSolverManifold,0.0
12,com.badlogic.gdx.graphics.g2d.CpuSpriteBatch,0.0
13,com.badlogic.gdx.tools.texturepacker.MaxRectsPacker.MaxRects,0.0
14,com.badlogic.gdx.tests.SpriteCacheTest,0.0
15,com.badlogic.gdx.graphics.g3d.particles.batches.PointSpriteParticleBatch,0.0
16,com.badlogic.gdx.backends.lwjgl.LwjglAWTCanvas.NonSystemPaint,0.0
17,com.badlogic.gdx.utils.Pools,0.0
18,org.jbox2d.dynamics.World,0.0
19,com.badlogic.gdx.Net.HttpRequest,0.0
20,com.badlogic.gdx.backends.headless.HeadlessFileHandle,0.0
21,com.badlogic.gdx.math.Interpolation.SwingOut,0.0
22,org.jbox2d.collision.Type,0.0
23,com.badlogic.gdx.graphics.g3d.utils.shapebuilders.FrustumShapeBuilder,0.0
24,org.jbox2d.particle.VoronoiDiagram.VoronoiDiagramCallback,0.0
25,com.badlogic.gdx.physics.bullet.collision.btCapsuleShapeZ,0.0
26,com.badlogic.gdx.physics.bullet.collision.btCapsuleShapeX,0.0
27,com.badlogic.gdx.physics.bullet.collision.btManifoldResult,1.0
28,com.badlogic.gdx.physics.bullet.collision.GIM_TRIANGLE_CONTACT_DATA,0.0
